timestamp,motion,humidity,temperature,illuminance
2026-01-17 17:22:40,93819.65,41,24.5,3651
2026-01-17 17:22:42,93761.28,41.1,24.4,3545
2026-01-17 17:22:44,93791.88,41.1,24.4,3621
2026-01-17 17:22:46,93818.09,41.1,24.4,3599
2026-01-17 17:22:48,93770.66,41.2,24.4,3602
2026-01-17 17:22:50,93837.89,41.3,24.3,3610
2026-01-17 17:22:52,93784.29,41.4,24.3,3612
2026-01-17 17:22:54,93804.38,41.3,24.3,3551
2026-01-17 17:22:56,93787.67,41.3,24.4,3524
2026-01-17 17:22:58,93694.84,41.2,24.3,3713
2026-01-17 17:23:00,93742.75,41.2,24.3,3646
2026-01-17 17:23:02,67071.5,41.2,24.3,3875
2026-01-17 17:23:04,67102.94,41.3,24.3,3913
2026-01-17 17:23:06,67152.52,41.4,24.3,4023
2026-01-17 17:23:08,93822.85,41.5,24.3,3882
2026-01-17 17:23:10,93787.8,41.8,24.3,3877
2026-01-17 17:23:12,93789.01,41.9,24.3,3883
2026-01-17 17:23:15,93834.98,41.9,24.3,3750
2026-01-17 17:23:16,67218.75,41.9,24.3,3795
2026-01-17 17:23:18,93811.73,41.9,24.3,3792
2026-01-17 17:23:20,93798.63,41.8,24.3,3797
2026-01-17 17:23:22,93834.99,41.9,24.3,3801
2026-01-17 17:23:24,67113.25,41.9,24.3,3830
2026-01-17 17:23:26,93840.04,41.9,24.3,3849
2026-01-17 17:23:28,93794.74,41.9,24.3,3803
2026-01-17 17:23:30,93814.28,41.9,24.4,3813
2026-01-17 17:23:32,93814.13,42,24.3,3882
2026-01-17 17:23:35,93814.07,42,24.3,3812
2026-01-17 17:23:36,93813.23,42,24.3,3823
2026-01-17 17:23:39,67169.68,42,24.3,3826
2026-01-17 17:23:41,93816.42,42,24.3,3846
2026-01-17 17:23:43,93795.73,42,24.4,3891
2026-01-17 17:23:45,93783.73,41.9,24.4,3831
2026-01-17 17:23:47,93807.36,41.9,24.3,3853
2026-01-17 17:23:49,93779.55,41.9,24.3,3866
2026-01-17 17:23:51,93771.91,41.9,24.3,3711
2026-01-17 17:23:53,67148.65,41.8,24.3,3807
2026-01-17 17:23:55,93876.02,41.9,24.3,3813
2026-01-17 17:23:57,93815.67,41.9,24.3,3841
2026-01-17 17:23:59,93775.41,41.9,24.4,3694
2026-01-17 17:24:01,93843.41,42,24.3,3811
2026-01-17 17:24:03,93788.27,42.1,24.3,3842
2026-01-17 17:24:05,93877.3,42.1,24.4,3817
2026-01-17 17:24:07,93794.12,42.1,24.3,3802
2026-01-17 17:24:09,93867.43,42.2,24.4,3856
2026-01-17 17:24:11,93791.55,42.2,24.4,3829
2026-01-17 17:24:13,93745.85,42.2,24.4,3777
2026-01-17 17:24:15,93789.12,42.2,24.4,3742
2026-01-17 17:24:17,93783.3,42.2,24.4,3767
2026-01-17 17:24:20,67151.6,42.2,24.4,3711
2026-01-17 17:24:21,93856.54,42.3,24.4,3771
2026-01-17 17:24:23,93839.9,42.2,24.5,3782
2026-01-17 17:24:25,93782.38,42.3,24.4,3824
2026-01-17 17:24:27,93792.48,42.3,24.4,3813
2026-01-17 17:24:29,93754.01,42.3,24.4,3824
2026-01-17 17:24:31,93732.19,42.4,24.4,3770
2026-01-17 17:24:33,93799.65,42.3,24.4,3889
2026-01-17 17:24:36,93796.49,42.3,24.5,3915
2026-01-17 17:24:37,93775.24,42.4,24.5,3917
2026-01-17 17:24:39,67171.86,42.3,24.5,3775
2026-01-17 17:24:41,93815.29,42.3,24.5,3795
2026-01-17 17:24:43,93787.24,42.3,24.4,3762
2026-01-17 17:24:45,93820.8,42.3,24.5,3870
2026-01-17 17:24:48,93812.41,42.2,24.5,3761
2026-01-17 17:24:50,93798.52,42.2,24.4,3813
2026-01-17 17:24:52,93778.1,42.1,24.5,3734
2026-01-17 17:24:54,93880.97,42,24.4,3773
